snapshot_date,prev_date,ID,change_type,old_value,new_value,delta
2026-06-05,2026-05-22,0003625,awarded,,2016-09-30,
2026-06-05,2026-05-22,0003626,awarded,,2024-10-28,
2026-06-05,2026-05-22,0003682,awarded,,2024-05-31,
2026-06-05,2026-05-22,0003948,awarded,,2019-09-20,
2026-06-05,2026-05-22,0004428,awarded,,2022-05-03,
2026-06-05,2026-05-22,0004634,awarded,,2025-05-27,
2026-06-05,2026-05-22,0004915,awarded,,2016-09-02,
2026-06-05,2026-05-22,0005317,awarded,,2025-01-31,
2026-06-05,2026-05-22,0005530,awarded,,2018-08-17,
2026-06-05,2026-05-22,0005533,awarded,,2023-09-01,
2026-06-05,2026-05-22,0005533,work_stopped,,2025-08-18,
2026-06-05,2026-05-22,0006049,awarded,,2020-04-17,
2026-06-05,2026-05-22,0006294,awarded,,2017-09-22,
2026-06-05,2026-05-22,0006327,awarded,,2018-08-17,
2026-06-05,2026-05-22,0006328,awarded,,2022-04-04,
2026-06-05,2026-05-22,0006416,awarded,,2018-05-18,
2026-06-05,2026-05-22,0006439,awarded,,2017-06-16,
2026-06-05,2026-05-22,0006446,awarded,,2023-04-14,
2026-06-05,2026-05-22,0006463,awarded,,2019-06-21,
2026-06-05,2026-05-22,0006576,awarded,,2018-07-23,
2026-06-05,2026-05-22,0006644,awarded,,2018-12-07,
2026-06-05,2026-05-22,0006658,awarded,,2017-07-21,
2026-06-05,2026-05-22,0006684,awarded,,2022-04-25,
2026-06-05,2026-05-22,0006684,work_stopped,,2024-03-19,
2026-06-05,2026-05-22,0006700,awarded,,2021-05-21,
2026-06-05,2026-05-22,0006857,awarded,,2022-04-01,
2026-06-05,2026-05-22,0006860,awarded,,2017-05-11,
2026-06-05,2026-05-22,0006862,awarded,,2018-12-14,
2026-06-05,2026-05-22,0006866,awarded,,2022-04-01,
2026-06-05,2026-05-22,0006900,awarded,,2014-05-02,
2026-06-05,2026-05-22,0006901,awarded,,2014-05-02,
2026-06-05,2026-05-22,0006932,awarded,,2020-10-01,
2026-06-05,2026-05-22,0006934,awarded,,2025-02-06,
2026-06-05,2026-05-22,0006935,awarded,,2023-06-02,
2026-06-05,2026-05-22,0007028,awarded,,2019-07-19,
2026-06-05,2026-05-22,0007037,awarded,,2019-05-17,
2026-06-05,2026-05-22,0007042,awarded,,2018-07-20,
2026-06-05,2026-05-22,0007043,awarded,,2018-09-21,
2026-06-05,2026-05-22,0007044,awarded,,2021-07-02,
2026-06-05,2026-05-22,0007047,awarded,,2020-06-19,
2026-06-05,2026-05-22,0007050,awarded,,2016-06-17,
2026-06-05,2026-05-22,0007055,awarded,,2025-01-03,
2026-06-05,2026-05-22,0007057,awarded,,2022-02-04,
2026-06-05,2026-05-22,0007128,awarded,,2017-10-20,
2026-06-05,2026-05-22,0007153,awarded,,2017-09-22,
2026-06-05,2026-05-22,0007154,awarded,,2017-09-22,
2026-06-05,2026-05-22,0007157,awarded,,2016-09-30,
2026-06-05,2026-05-22,0007170,awarded,,2021-09-17,
2026-06-05,2026-05-22,0007174,awarded,,2018-12-14,
2026-06-05,2026-05-22,0007176,awarded,,2018-12-14,
2026-06-05,2026-05-22,0007177,awarded,,2019-09-20,
2026-06-05,2026-05-22,0007179,awarded,,2020-07-17,
2026-06-05,2026-05-22,0007259,awarded,,2017-07-21,
2026-06-05,2026-05-22,0007313,awarded,,2015-12-07,
2026-06-05,2026-05-22,0007319,awarded,,2017-04-21,
2026-06-05,2026-05-22,0007386,awarded,,2020-02-21,
2026-06-05,2026-05-22,0007414,awarded,,2016-11-04,
2026-06-05,2026-05-22,0007526,awarded,,2020-12-18,
2026-06-05,2026-05-22,0007532,awarded,,2018-06-06,
2026-06-05,2026-05-22,0007533,awarded,,2021-09-14,
2026-06-05,2026-05-22,0007535,awarded,,2024-08-22,
2026-06-05,2026-05-22,0007540,awarded,,2021-01-05,
2026-06-05,2026-05-22,0007593,awarded,,2018-09-27,
2026-06-05,2026-05-22,0007593,work_stopped,,2023-05-15,
2026-06-05,2026-05-22,0007613,awarded,,2017-08-10,
2026-06-05,2026-05-22,0007618,awarded,,2019-03-28,
2026-06-05,2026-05-22,0007618,work_stopped,,2024-04-19,
2026-06-05,2026-05-22,0007631,awarded,,2019-01-08,
2026-06-05,2026-05-22,0007633,awarded,,2017-04-27,
2026-06-05,2026-05-22,0007664,awarded,,2019-04-23,
2026-06-05,2026-05-22,0007691,awarded,,2017-10-20,
2026-06-05,2026-05-22,0007838,awarded,,2023-12-29,
2026-06-05,2026-05-22,0007838,work_stopped,,2024-12-31,
2026-06-05,2026-05-22,0007841,awarded,,2024-08-30,
2026-06-05,2026-05-22,0007843,status_change,UNDER-CONSTRUCTION,COMPLETED-CONSTRUCTION,
2026-06-05,2026-05-22,0007843,awarded,,2023-03-03,
2026-06-05,2026-05-22,0007844,awarded,,2022-08-05,
2026-06-05,2026-05-22,0007850,cost_change,14735723.43,22191427.89,7455704.46
2026-06-05,2026-05-22,0007856,cost_change,89524936.28999999,0.0,-89524936.29
2026-06-05,2026-05-22,0007949,awarded,,2017-07-05,
2026-06-05,2026-05-22,0008016,awarded,,2022-08-05,
2026-06-05,2026-05-22,0008043,awarded,,2018-08-17,
2026-06-05,2026-05-22,0008121,awarded,,2019-10-22,
2026-06-05,2026-05-22,0008288,awarded,,2023-10-06,
2026-06-05,2026-05-22,0008288,work_stopped,,2025-02-06,
2026-06-05,2026-05-22,0008289,awarded,,2021-06-18,
2026-06-05,2026-05-22,0008314,awarded,,2020-04-17,
2026-06-05,2026-05-22,0008357,awarded,,2022-09-02,
2026-06-05,2026-05-22,0008382,awarded,,2016-08-05,
2026-06-05,2026-05-22,0008387,cost_change,56791431.36,98083535.18,41292103.82
2026-06-05,2026-05-22,0008429,awarded,,2017-07-21,
2026-06-05,2026-05-22,0008430,awarded,,2020-04-17,
2026-06-05,2026-05-22,0008431,awarded,,2019-11-22,
2026-06-05,2026-05-22,0008542,awarded,,2015-06-19,
2026-06-05,2026-05-22,0008598,awarded,,2021-07-30,
2026-06-05,2026-05-22,0008600,awarded,,2019-05-17,
2026-06-05,2026-05-22,0008601,cost_change,18507266.46,18587266.46,80000.0
2026-06-05,2026-05-22,0008613,awarded,,2018-09-21,
2026-06-05,2026-05-22,0008647,awarded,,2020-07-17,
2026-06-05,2026-05-22,0008680,awarded,,2023-01-06,
2026-06-05,2026-05-22,0008680,work_stopped,,2024-08-31,
2026-06-05,2026-05-22,0008759,awarded,,2023-12-01,
2026-06-05,2026-05-22,0008759,work_stopped,,2025-09-23,
2026-06-05,2026-05-22,0008986,awarded,,2017-08-15,
2026-06-05,2026-05-22,0009011,awarded,,2021-01-22,
2026-06-05,2026-05-22,0009029,awarded,,2019-07-03,
2026-06-05,2026-05-22,0009045,awarded,,2021-02-04,
2026-06-05,2026-05-22,0009060,awarded,,2017-10-24,
2026-06-05,2026-05-22,0009062,awarded,,2021-08-13,
2026-06-05,2026-05-22,0009089,awarded,,2021-06-14,
2026-06-05,2026-05-22,0009164,awarded,,2020-03-20,
2026-06-05,2026-05-22,0009294,awarded,,2020-09-01,
2026-06-05,2026-05-22,0009316,awarded,,2015-09-04,
2026-06-05,2026-05-22,0009323,awarded,,2016-04-05,
2026-06-05,2026-05-22,0009397,awarded,,2024-07-03,
2026-06-05,2026-05-22,0009400,awarded,,2022-03-04,
2026-06-05,2026-05-22,0009679,awarded,,2019-06-21,
2026-06-05,2026-05-22,0009835,awarded,,2018-08-17,
2026-06-05,2026-05-22,0009855,awarded,,2019-12-20,
2026-06-05,2026-05-22,0009860,awarded,,2017-07-21,
2026-06-05,2026-05-22,0009861,awarded,,2019-07-08,
2026-06-05,2026-05-22,0009862,awarded,,2017-09-22,
2026-06-05,2026-05-22,0009864,awarded,,2016-01-22,
2026-06-05,2026-05-22,0009872,awarded,,2017-12-15,
2026-06-05,2026-05-22,0009874,awarded,,2023-06-30,
2026-06-05,2026-05-22,0009874,work_stopped,,2025-05-14,
2026-06-05,2026-05-22,0009880,awarded,,2020-10-16,
2026-06-05,2026-05-22,0009901,awarded,,2021-06-18,
2026-06-05,2026-05-22,0009916,awarded,,2022-07-01,
2026-06-05,2026-05-22,0009916,work_stopped,,2023-12-14,
2026-06-05,2026-05-22,0009919,awarded,,2018-06-22,
2026-06-05,2026-05-22,0009928,awarded,,2025-05-02,
2026-06-05,2026-05-22,0009931,awarded,,2022-08-05,
2026-06-05,2026-05-22,0009931,work_stopped,,2024-11-06,
2026-06-05,2026-05-22,0009948,awarded,,2018-06-22,
2026-06-05,2026-05-22,0009949,awarded,,2020-07-17,
2026-06-05,2026-05-22,0009950,awarded,,2018-05-18,
2026-06-05,2026-05-22,0009960,awarded,,2022-02-04,
2026-06-05,2026-05-22,0009966,awarded,,2022-12-16,
2026-06-05,2026-05-22,0009967,awarded,,2022-04-01,
2026-06-05,2026-05-22,0009971,awarded,,2019-04-19,
2026-06-05,2026-05-22,0009972,awarded,,2019-04-19,
2026-06-05,2026-05-22,0009975,awarded,,2021-07-02,
2026-06-05,2026-05-22,0009988,awarded,,2018-05-18,
2026-06-05,2026-05-22,0009989,awarded,,2022-12-02,
2026-06-05,2026-05-22,0009989,work_stopped,,2024-07-31,
2026-06-05,2026-05-22,0009990,awarded,,2023-02-03,
2026-06-05,2026-05-22,0009990,work_stopped,,2025-01-29,
2026-06-05,2026-05-22,0010009,awarded,,2017-07-24,
2026-06-05,2026-05-22,0010028,awarded,,2022-09-15,
2026-06-05,2026-05-22,0010121,awarded,,2017-06-16,
2026-06-05,2026-05-22,0010195,awarded,,2019-06-21,
2026-06-05,2026-05-22,0010211,awarded,,2017-02-17,
2026-06-05,2026-05-22,0010212,awarded,,2019-10-22,
2026-06-05,2026-05-22,0010213,awarded,,2020-11-24,
2026-06-05,2026-05-22,0010297,awarded,,2021-11-05,
2026-06-05,2026-05-22,0010318,cost_change,25107068.74,27408417.4,2301348.66
2026-06-05,2026-05-22,0010323,awarded,,2020-04-18,
2026-06-05,2026-05-22,0010323,work_stopped,,2025-07-28,
2026-06-05,2026-05-22,0010331,awarded,,2019-03-26,
2026-06-05,2026-05-22,0010332,awarded,,2019-01-03,
2026-06-05,2026-05-22,0010333,awarded,,2020-03-31,
2026-06-05,2026-05-22,0010334,awarded,,2016-08-05,
2026-06-05,2026-05-22,0010336,awarded,,2018-08-20,
2026-06-05,2026-05-22,0010385,awarded,,2021-03-30,
2026-06-05,2026-05-22,0010409,awarded,,2018-08-17,
2026-06-05,2026-05-22,0010410,awarded,,2018-08-17,
2026-06-05,2026-05-22,0010428,awarded,,2023-06-02,
2026-06-05,2026-05-22,0010428,work_stopped,,2025-01-17,
2026-06-05,2026-05-22,0010554,awarded,,2018-08-17,
2026-06-05,2026-05-22,0010555,awarded,,2024-07-05,
2026-06-05,2026-05-22,0010571,awarded,,2022-07-01,
2026-06-05,2026-05-22,0010571,work_stopped,,2025-03-26,
2026-06-05,2026-05-22,0010574,awarded,,2018-07-23,
2026-06-05,2026-05-22,0010588,awarded,,2021-08-13,
2026-06-05,2026-05-22,0010593,awarded,,2018-11-20,
2026-06-05,2026-05-22,0010598,awarded,,2018-07-30,
2026-06-05,2026-05-22,0010601,awarded,,2020-01-13,
2026-06-05,2026-05-22,0010604,awarded,,2019-04-23,
2026-06-05,2026-05-22,0010606,awarded,,2018-07-30,
2026-06-05,2026-05-22,0010611,awarded,,2019-08-07,
2026-06-05,2026-05-22,0010613,awarded,,2018-04-05,
2026-06-05,2026-05-22,0010615,awarded,,2019-07-05,
2026-06-05,2026-05-22,0010620,awarded,,2017-12-19,
2026-06-05,2026-05-22,0010621,awarded,,2019-09-16,
