Project_ID,Project_counties,Is_TIA_project,Contractor_name,TPRO_PROJ_COMPLETE_DT,Project_description,TIME_STOPPED_DATE,SUBSTL_WORK_COMPL_DATE,CONSTRUCTION_STATUS_DERIVED,Last_refresh,Project_URL,DISTRICT
0020940,Dade,No,,,SR 58 @ SR 299,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020940,14
0020948,Wilkinson,No,,,SR 18 @ SR 540,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020948,8
0020949,Bryan,No,,,SR 67 @ SR 119,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020949,1
0020950,Tattnall,No,,,SR 23/SR 57 @ SR 144,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020950,12
0020951,"Clayton , Fulton",No,,,I-85 From Riverdale Road To I-75,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020951,5
0020952,Fulton,No,,,I-75 @ SR 154 - Tunnel Lighting,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020952,5
0020953,Fulton,No,,,I-75 @ Ralph Mcgill Blvd & @ Baker Street - Tunnel Lighting,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020953,5
0020954,Fulton,No,,,I-75 From I-20 To I-85,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020954,5
0020955,Fulton,No,,,I-75 From I-85 To Memorial Drive,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020955,5
0020989,Brooks,No,,,Beasley Road @ Carroll Creek Tributary,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020989,8
0021092,"Cherokee , Cobb , Fulton",No,,,I-75 & I-85 @ 5 Locs - Ramp Meter Improvements,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0021092,11
0020530,Lowndes,Yes,,,Copeland Road From Madison Hwy To Inner Perimeter Road - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020530,8
0020542,Lowndes,Yes,,,Oak Street Extension From S Of Murry RD To Cherry Creek RD-TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020542,8
0020543,Lowndes,Yes,,,Country Club Road From SR 7 To Noble Way - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020543,8
0020567,Pierce,Yes,,,Altman Street From CSX #636801C To SR 38 - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020567,1
0020587,Ware,Yes,,,Pinehurst Drive Ext From Tebeau Street To Sunnyside Drive-TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020587,1
0020588,Ware,Yes,,,Gilchrist Park Paving & Drainage - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020588,1
0020592,Ware,Yes,,,Thigpen Road @ 1 Loc & Palmetto Place @ 4 Locs - TIA,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020592,1
0020634,Gwinnett,No,,,Stanley Road @ SR 8,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020634,10
0020635,All Counties,No,,,Signing & Marking @ 46 NS Locs In District 4 & 5,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020635,1
0020661,Douglas,No,,,SR 166 @ Chapel Hill Road,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020661,6
0020662,Cobb,No,,,Franklin Gateway @ Rottenwood Creek,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020662,11
0020663,Cobb,No,,,Cobb International Blvd From SR 3 To Cobb Center Drive,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020663,11
0020664,Cobb,No,,,Austell Powder Springs Trail From Silver Comet To Joe Jerkins,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020664,6
0020666,Cobb,No,,,George Busbee Pkwy From SR 5 Conn To Chastain Road,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020666,11
0020667,DeKalb,No,,,Georgetown Trail From Old Georgetown Trl To Georgetown Square,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020667,4
0020669,Cobb,No,,,Oakdale Road @ Buckner Road & @ NS #719840A,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020669,6
0020670,Gwinnett,No,,,Pleasant Hill Road @ Gwinnett Place Drive,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020670,4
0020671,DeKalb,No,,,Chestnut Drive @ SR 13,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020671,4
0020676,All Counties,No,,,Railroad Crossings @ 7 NS Locs In District 2,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020676,1
0020677,"Gwinnett , Jackson",No,,,Railroad Crossings @ 5 NS Locs In District 1,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020677,9
0020678,Taylor,No,,,Collins Street @ NS #734040B In Reynolds,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020678,2
0020679,Haralson,No,,,SR 8/SR 100 @ NS #726708U In Tallapoosa,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020679,3
0020680,DeKalb,No,,,Henrico Road @ NS #718386M,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020680,5
0020681,Fulton,No,,,Jonesboro Road @ CSX #639514A In Union City,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020681,6
0020726,"Bleckley , Dodge , Laurens",No,,,Signing & Marking @ 51 Rr Locs In Bleckley; Dodge & Laurens,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020726,12
0020727,All Counties,No,,,Signing & Marking @ 121 Cgr Locs In District 2,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020727,1
0020728,All Counties,No,,,Signing & Marking @ 126 Cgr Locs In District 2,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020728,1
0020729,Madison,No,,,Off-System Safety Improvements @ 4 Locs In Madison County,,,PRE-CONSTRUCTION,1743429330000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020729,10
